# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/East,Y/North,Z/Altitude,Yaw,Pitch,Roll,Accuracy_(m),Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
IMG_2117.JPG,11.609172,50.966049,415.342700,,,,,6.199571,4.112397,2.246334,-4.059170,,,,,11.609230,50.966069,411.283528,223.070502,8.353678,2.364441
IMG_2118.JPG,11.608901,50.965983,414.722700,,,,,7.021205,4.869155,2.009321,-4.642336,,,,,11.608970,50.966001,410.080362,228.570573,11.410879,2.627938
IMG_2119.JPG,11.608633,50.965922,415.152700,,,,,6.776681,4.585319,2.095648,-4.528412,,,,,11.608698,50.965941,410.624286,225.402720,10.230482,-1.324494
IMG_2120.JPG,11.608355,50.965855,415.472700,,,,,7.228129,4.728772,2.000730,-5.087400,,,,,11.608423,50.965873,410.385298,231.856884,9.861035,8.292006
IMG_2121.JPG,11.608078,50.965792,417.202700,,,,,7.132778,4.441119,2.196267,-5.131217,,,,,11.608141,50.965811,412.071481,236.334137,9.245421,7.203996
IMG_2122.JPG,11.607796,50.965723,416.642700,,,,,6.920104,4.657415,2.376790,-4.532901,,,,,11.607862,50.965745,412.109797,231.286035,7.642884,7.076208
IMG_2123.JPG,11.607500,50.965684,416.152700,,,,,5.552085,4.238320,1.058039,-3.426783,,,,,11.607560,50.965694,412.725915,232.949220,6.541330,7.071972
IMG_2124.JPG,11.607182,50.965634,411.122700,,,,,6.114078,4.543456,2.030037,-3.552170,,,,,11.607247,50.965652,407.570528,231.326757,4.756484,5.254921
IMG_2125.JPG,11.606855,50.965574,409.352700,,,,,6.993940,5.225250,1.876826,-4.253175,,,,,11.606929,50.965591,405.099523,228.393877,13.155334,3.312009
IMG_2126.JPG,11.606596,50.965521,405.802700,,,,,5.743474,4.266456,2.457742,-2.957084,,,,,11.606657,50.965543,402.845614,217.900528,5.119868,-5.864699
IMG_2127.JPG,11.606320,50.965452,403.342700,,,,,6.718054,5.233319,1.958754,-3.729330,,,,,11.606395,50.965470,399.613368,228.440141,6.526473,12.059296
IMG_2128.JPG,11.605968,50.965559,402.032700,,,,,9.008311,4.987467,-6.257137,-4.138003,,,,,11.606039,50.965503,397.894692,297.689188,11.625560,33.384311
IMG_2129.JPG,11.605964,50.965866,404.572700,,,,,11.998609,-4.403660,-8.888070,-6.751045,,,,,11.605902,50.965787,397.821648,22.472388,19.317794,30.007287
IMG_2130.JPG,11.606246,50.966105,415.982700,,,,,12.554505,-5.579214,-5.706835,-9.691233,,,,,11.606166,50.966053,406.291462,53.461516,31.927646,4.692768
IMG_2131.JPG,11.606593,50.966218,418.202700,,,,,9.853428,-6.764798,-1.678379,-6.964954,,,,,11.606497,50.966203,411.237742,98.138315,12.560475,19.807099
IMG_2132.JPG,11.607007,50.966219,417.152700,,,,,10.262903,-7.752316,-0.038317,-6.725125,,,,,11.606896,50.966218,410.427571,116.756168,16.744796,3.712166
IMG_2133.JPG,11.607395,50.966243,419.222700,,,,,10.090099,-7.605227,-1.761669,-6.392742,,,,,11.607286,50.966227,412.829953,99.175872,14.280977,-4.624976
IMG_2134.JPG,11.607780,50.966318,419.492700,,,,,10.094928,-7.609168,-3.139333,-5.844033,,,,,11.607671,50.966290,413.648662,88.962367,16.312366,-1.936174
IMG_2135.JPG,11.608173,50.966415,420.332700,,,,,10.715536,-8.263137,-3.906621,-5.592995,,,,,11.608056,50.966380,414.739699,80.265081,15.452926,-1.187408
IMG_2136.JPG,11.608599,50.966514,421.682700,,,,,11.774657,-9.147708,-4.174220,-6.126816,,,,,11.608469,50.966477,415.555876,76.427785,14.420831,1.442968
IMG_2137.JPG,11.609015,50.966603,425.742700,,,,,10.770253,-7.523466,-3.304747,-6.962359,,,,,11.608908,50.966573,418.780336,85.704516,13.862792,6.357004
IMG_2138.JPG,11.609412,50.966676,424.472700,,,,,8.742874,-6.984645,-3.180174,-4.187967,,,,,11.609312,50.966648,420.284728,86.907154,7.650902,-0.394124
IMG_2139.JPG,11.609838,50.966768,422.212700,,,,,9.814457,-7.716641,-3.907205,-4.637971,,,,,11.609728,50.966733,417.574723,88.552722,11.373699,4.123922
IMG_2140.JPG,11.610252,50.966856,421.152700,,,,,9.363629,-7.436679,-3.664284,-4.352744,,,,,11.610146,50.966823,416.799950,87.860530,11.644747,1.671065
IMG_2141.JPG,11.610664,50.966945,419.402700,,,,,9.696506,-8.033539,-3.540062,-4.117336,,,,,11.610550,50.966913,415.285358,89.426317,8.738986,4.552048
IMG_2142.JPG,11.611088,50.967027,416.482700,,,,,9.420272,-8.268675,-3.401089,-2.967006,,,,,11.610971,50.966997,413.515687,85.973311,6.097715,12.468741
IMG_2143.JPG,11.611428,50.966955,413.992700,,,,,6.629818,-4.441700,2.570314,-4.197532,,,,,11.611365,50.966978,409.795166,144.989883,14.356505,24.529626
IMG_2144.JPG,11.611533,50.966807,414.532700,,,,,5.496789,-1.440242,2.963803,-4.399576,,,,,11.611513,50.966833,410.133124,171.608653,15.450969,11.073288
IMG_2145.JPG,11.611574,50.966650,414.092700,,,,,5.396126,-1.218341,3.276440,-4.110810,,,,,11.611556,50.966679,409.981889,172.186810,13.967375,4.630312
IMG_2146.JPG,11.611623,50.966489,415.062700,,,,,5.537939,-1.127490,3.275777,-4.320511,,,,,11.611607,50.966519,410.742188,176.524713,14.502123,11.570618
IMG_2147.JPG,11.611554,50.966330,415.082700,,,,,5.227283,1.145324,2.788000,-4.270806,,,,,11.611570,50.966355,410.811894,197.446683,10.814259,3.630128
IMG_2148.JPG,11.611353,50.966220,415.842700,,,,,5.679080,3.064973,0.453549,-4.759431,,,,,11.611397,50.966224,411.083269,219.924510,17.055681,13.535690
IMG_2149.JPG,11.611098,50.966151,414.062700,,,,,5.704208,3.860789,0.521677,-4.166552,,,,,11.611153,50.966156,409.896147,229.319242,10.152933,8.027390
IMG_2150.JPG,11.610829,50.966090,414.332700,,,,,5.846495,3.455466,0.256531,-4.709082,,,,,11.610878,50.966093,409.623617,230.686750,13.409896,4.905666
IMG_2151.JPG,11.610558,50.966032,413.972700,,,,,5.646500,3.396402,0.569106,-4.474766,,,,,11.610607,50.966037,409.497933,229.618390,11.181444,3.313553
IMG_2152.JPG,11.610278,50.965976,414.062700,,,,,5.758703,3.358932,0.512724,-4.649447,,,,,11.610326,50.965981,409.413253,229.148441,12.146239,-1.837388
IMG_2153.JPG,11.610014,50.965920,415.042700,,,,,5.708990,3.181966,0.816534,-4.669147,,,,,11.610059,50.965927,410.373552,227.148417,11.938751,-0.320775
IMG_2154.JPG,11.609736,50.965868,414.172700,,,,,5.519323,3.965665,0.866482,-3.739738,,,,,11.609792,50.965876,410.432961,224.955276,11.817847,-1.351702
IMG_2155.JPG,11.609469,50.965810,411.392700,,,,,5.964654,4.570256,1.590620,-3.487089,,,,,11.609534,50.965824,407.905610,224.097267,10.095272,1.450101
IMG_2156.JPG,11.609223,50.965753,410.372700,,,,,4.909493,3.225011,0.657668,-3.642787,,,,,11.609269,50.965759,406.729913,228.169534,13.559329,6.606415
IMG_2157.JPG,11.608946,50.965691,409.472700,,,,,5.582737,3.621236,1.355302,-4.027003,,,,,11.608997,50.965703,405.445696,225.161428,13.956219,-0.579381
IMG_2158.JPG,11.608671,50.965632,409.702700,,,,,5.773168,3.891574,1.420636,-4.020810,,,,,11.608726,50.965644,405.681889,227.963609,17.468941,2.679486
IMG_2159.JPG,11.608404,50.965588,410.212700,,,,,5.548870,3.326343,0.986422,-4.330402,,,,,11.608451,50.965597,405.882297,235.881899,16.494007,-4.335912
IMG_2160.JPG,11.608122,50.965525,411.662700,,,,,6.837235,4.649079,1.740416,-4.701574,,,,,11.608188,50.965541,406.961124,235.433135,18.137843,5.748901
IMG_2161.JPG,11.607879,50.965471,413.952700,,,,,6.086024,3.483280,1.537267,-4.747974,,,,,11.607928,50.965484,409.204725,234.601980,14.369196,1.237593
IMG_2162.JPG,11.607570,50.965418,414.702700,,,,,6.461608,5.019409,1.365360,-3.833237,,,,,11.607642,50.965431,410.869461,240.591948,12.532177,5.268461
IMG_2163.JPG,11.607288,50.965372,411.352700,,,,,6.125654,5.257076,1.797298,-2.580021,,,,,11.607363,50.965388,408.772676,236.889635,5.967445,-0.478992
IMG_2164.JPG,11.607038,50.965328,410.342700,,,,,4.889399,3.248490,1.305224,-3.413198,,,,,11.607084,50.965339,406.929501,234.635312,10.976688,1.671314
IMG_2165.JPG,11.606789,50.965276,406.202700,,,,,4.217777,3.183459,1.633431,-2.233191,,,,,11.606834,50.965290,403.969508,225.810580,5.722753,-1.942257
IMG_2166.JPG,11.606524,50.965200,403.022700,,,,,5.332865,3.330870,2.513851,-3.320437,,,,,11.606571,50.965223,399.702261,226.425838,6.319219,-9.902746
IMG_2167.JPG,11.606509,50.965045,400.702700,,,,,6.499545,-2.856841,4.888137,-3.191968,,,,,11.606468,50.965089,397.510730,166.194845,7.813615,-17.511551
